FORMATNAME;Формат 6.2;
TYPEZ;О;
FNAME;62-lgt.dbf;
ZAPV;В6.2                              ;
BEGIN;;
NPERS;14;Страховой номер индивидуального лицевого счета застра-хованного лица в ПФР (СНИЛС):999-999-999 99 (п. 3 при-мечаний)
OKATO;5;Код региона по ОКАТО (п. 4 примечаний)
REG;3;Код ОПФР (п. 4 примечаний)
RA;3;Код района (по классификатору территориальных органов  ПФР)
FAM;40;Фамилия
IM;40;Имя
OT;40;Отчество (в случае отсутствия отчества по документам, удостоверяющим личность гражданина, заполняется пробе-лами)
POL;1;Пол (М/Ж)
RDAT;10;Дата рождения: ГГГГ/ММ/ДД (п. 5 примечаний)
RSTRANA;40;Страна рождения (п. 6 примечаний)
RREG;40;Регион рождения (Республика, край, область)(п. 7 примеча-ний)
RRA;40;Район рождения  (п. 8 примечаний)
RNP;40;Населенный  пункт  места  рождения  (город, село, деревня, ?) (п. 9 примечаний)
GRAJD;40;Гражданство (п. 10 примечаний)
KODFP;1;Код формы проживания, если иностранный гражданин или лицо без гражданства (1 - имеет вид на жительство, 0 - не имеет вид на жительство, пробел, (п. 11 примечаний))
KODDOC;14;Код документа, удостоверяющего личность (п.12 примеча-ний)
SERDOC;9;Серия документа, удостоверяющего личность (п.13 приме-чаний)
NOMDOC;8;Номер документа, удостоверяющего личность (п.13 приме-чаний)
DATVDOC;10;Дата выдачи документа, удостоверяющего личность: ГГГГ/ММ/ДД (п.13 примечаний)
ORGDOC;80;Наименование органа, выдавшего документ, удостоверяю-щий личность
MRINDEX;6;Почтовый индекс места регистрации (п. 14 примечаний)
MRREG;50;Регион места регистрации (п. 14 примечаний)
MRRA;50;Район места регистрации (п. 14 примечаний)
MRNP;50;Населенный пункт места регистрации (п. 14 примечаний)
MRUL;40;Улица места регистрации (п. 14 примечаний)
MRDOM;8;Дом места регистрации (п. 14 примечаний)
MRKORP;15;Корпус места регистрации (п. 14 примечаний)
MRKVA;6;Квартира места регистрации (п. 14 примечаний)
FPINDEX;6;Почтовый индекс фактического места пребывания (п. 15 примечаний)
FPREG;50;Регион фактического места пребывания (п. 15 примечаний)
FPRA;50;Район фактического места пребывания (п. 15 примечаний)
FPNP;50;Населенный пункт фактического места пребывания(п. 15 примечаний)
FPUL;40;Улица фактического места пребывания (п. 15 примечаний)
FPPDOM;8;Дом фактического места пребывания (п. 15 примечаний)
FPKORP;15;Корпус фактического места пребывания (п. 15 примечаний)
FPKVA;6;Квартира фактического места пребывания (п. 15 примеча-ний)
NP;1;Место проживания: Г - город, С - село
KOLLG;3;Количество записей о праве на получение ЕДВ (п.16 приме-чаний)
L1;3;Код категории, по которой гражданину установлена ЕДВ (за исключением граждан, указанных в статье 6.7 Федерального закона от 17.07.199 № 178-ФЗ). Нули (000) - такой катего-рии нет (п. 17 примечаний)
L2;3;Код категории, по которой гражданину установлена ЕДВ (для граждан, указанных в статье 6.7 Федерального закона от 17.07.199 № 178-ФЗ). Нули (000) - такой категории нет(п. 17 примечаний)
N1;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 1: Д - получает, Н - не получает (п.18 примечаний)
N2;1;Признак получения (отказа от) набора социальных услуг в текущем году  № 2:  Д - получает, Н - не получает (п. 19 примечаний)
DATFED;10;Дата включения в Федеральный регистр: ГГГГ/ММ/ДД (п.20 примечаний)
DIF;10;Дата исключения из Федерального регистра: ГГГГ/ММ/ДД (п.21 примечаний)
DATREG;10;Дата включения в региональный сегмент Федерального ре-гистра: ГГГГ/ММ/ДД (п.22 примечаний)
DIRE;10;Дата исключения из регионального сегмента Федерального регистра: ГГГГ/ММ/ДД (п. 23 примечаний)
KIZ;2;Код изменения (п.24 примечаний)
PENSION;1; Признак получения пенсии в ПФР (Д - пенсионер, Н - нет, В - получатель пенсии в ПФР и (или) другом ведомстве
SUMEDV;15;Общая сумма установленной ЕДВ
TEL;20;Контактный телефон
LN;14;Номер выплатного дела получателя  ЕДВ
NSU1;1;Признак получения (отказа от) набора социальных услуг № 1 на следующий год:Д - получает, Н - не получает, (п. 25 приме-чаний)
NSU2;1;Признак получения (отказа от) набора социальных услуг № 2 на следующий год:Д - получает, Н - не получает, (п. 25 приме-чаний)
PRIM;100;Пояснения  к информации (п. 26 примечаний)
REZERV;30;Резерв  (п. 27 примечаний)
ISEDV;3;"Категория получателя (""ЕДВ"" - получатель ежемесячной денежной выплаты)"
ISPENSION;4;"Категория получателя (""ПЕНС"" - получатель пенсии)"
SDPKATEG;2;Категория получателя социальной доплаты (таблица 10)
KOLZM;3;"Количество  записей о мерах социальной поддержки (запись типа ""М"")"
OPEKA;1;"Признак наличия сведений о законном представителе (опе-кун, попечитель, родитель) лица, либо о его представителе по доверенности (""Д"" / ""Н"")   "
SDPFROM;10;"Дата, с которой необходимо представить сведения о мерах социальной поддержки (запись типа ""М""), либо об измене-ниях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД."
SDPTO;10;"Дата,  по которую необходимо представить сведения о ме-рах социальной поддержки (запись типа ""М""), либо об из-менениях пенсионных и других социальных выплат (запись типа ""С"") - ГГГГ/ММ/ДД."
KOLZS;3;"Количество  записей о праве гражданина на получение со-циальной доплаты к пенсии (запись типа ""С"")"
REGTYPE;1;"Вид регистрации получателя социальной доплаты (""В"" - временная регистрация, ""П"" - постоянная регистрация)"
RAB;3;"Признак работы пенсионера (""НЕТ"" - неработающий,   ""ДА"" - работающий, пробел - нет достоверных сведений)) "
REGMIN;15;Прожиточный минимум пенсионера в субъекте Российской Федерации
FEDMIN;15;Прожиточный минимум пенсионера в Российской Федера-ции
FOUND;1;"Признак отсутствия сведений о лице, указанном в запросе - ""Н""  "
END;;
TYPEZ;Л;
FNAME;62-zl.dbf;
BEGIN;;
KATEG;3;Код категории, в соответствии с которой гражданин имеет право на ЕДВ (п. 29 примечаний)
NAMEPUD;80;Наименование документа, подтверждающего право на ЕДВ
SERPUD;8;Серия документа, подтверждающего право на ЕДВ
NOMPUD;10;Номер документа, подтверждающего право на ЕДВ
DATVPUD;10;Дата выдачи документа, подтверждающего право на ЕДВ:ГГГГ/ММ/ДД  (п. 30 примечаний)
